x,y,z,yaw
-2.5,2.5,3.0,0.0
-2.375,2.5,3.0,0.0
-2.25,2.5,3.0,0.0
-2.125,2.5,3.0,0.0
-2.0,2.5,3.0,0.0
-1.875,2.5,3.0,0.0
-1.75,2.5,3.0,0.0
-1.625,2.5,3.0,0.0
-1.5,2.5,3.0,0.0
-1.375,2.5,3.0,0.0
-1.25,2.5,3.0,0.0
-1.125,2.5,3.0,0.0
-1.0,2.5,3.0,0.0
-0.875,2.5,3.0,0.0
-0.75,2.5,3.0,0.0
-0.625,2.5,3.0,0.0
-0.5,2.5,3.0,0.0
-0.375,2.5,3.0,0.0
-0.25,2.5,3.0,0.0
-0.125,2.5,3.0,0.0
0.0,2.5,3.0,0.0
0.125,2.5,3.0,0.0
0.25,2.5,3.0,0.0
0.375,2.5,3.0,0.0
0.5,2.5,3.0,0.0
0.625,2.5,3.0,0.0
0.75,2.5,3.0,0.0
0.875,2.5,3.0,0.0
1.0,2.5,3.0,0.0
1.125,2.5,3.0,0.0
1.25,2.5,3.0,0.0
1.375,2.5,3.0,0.0
1.5,2.5,3.0,0.0
1.625,2.5,3.0,0.0
1.75,2.5,3.0,0.0
1.875,2.5,3.0,0.0
2.0,2.5,3.0,0.0
2.125,2.5,3.0,0.0
2.25,2.5,3.0,0.0
2.375,2.5,3.0,0.0
2.5,2.5,3.0,0.0
2.5,2.5,3.0,-0.15707963267948966
2.5,2.5,3.0,-0.3141592653589793
2.5,2.5,3.0,-0.47123889803846897
2.5,2.5,3.0,-0.6283185307179586
2.5,2.5,3.0,-0.7853981633974483
2.5,2.5,3.0,-0.9424777960769379
2.5,2.5,3.0,-1.0995574287564276
2.5,2.5,3.0,-1.2566370614359172
2.5,2.5,3.0,-1.413716694115407
2.5,2.5,3.0,-1.5707963267948966
2.5,2.375,3.0,-1.5707963267948966
2.5,2.25,3.0,-1.5707963267948966
2.5,2.125,3.0,-1.5707963267948966
2.5,2.0,3.0,-1.5707963267948966
2.5,1.875,3.0,-1.5707963267948966
2.5,1.75,3.0,-1.5707963267948966
2.5,1.625,3.0,-1.5707963267948966
2.5,1.5,3.0,-1.5707963267948966
2.5,1.375,3.0,-1.5707963267948966
2.5,1.25,3.0,-1.5707963267948966
2.5,1.125,3.0,-1.5707963267948966
2.5,1.0,3.0,-1.5707963267948966
2.5,0.875,3.0,-1.5707963267948966
2.5,0.75,3.0,-1.5707963267948966
2.5,0.625,3.0,-1.5707963267948966
2.5,0.5,3.0,-1.5707963267948966
2.5,0.375,3.0,-1.5707963267948966
2.5,0.25,3.0,-1.5707963267948966
2.5,0.125,3.0,-1.5707963267948966
2.5,0.0,3.0,-1.5707963267948966
2.5,-0.125,3.0,-1.5707963267948966
2.5,-0.25,3.0,-1.5707963267948966
2.5,-0.375,3.0,-1.5707963267948966
2.5,-0.5,3.0,-1.5707963267948966
2.5,-0.625,3.0,-1.5707963267948966
2.5,-0.75,3.0,-1.5707963267948966
2.5,-0.875,3.0,-1.5707963267948966
2.5,-1.0,3.0,-1.5707963267948966
2.5,-1.125,3.0,-1.5707963267948966
2.5,-1.25,3.0,-1.5707963267948966
2.5,-1.375,3.0,-1.5707963267948966
2.5,-1.5,3.0,-1.5707963267948966
2.5,-1.625,3.0,-1.5707963267948966
