control	0
yaw_angle	1
cmd_type	0
pose_x	pose_y	pose_z	heading
-2.726873	0.426577	3.000000	0.000000
-2.684085	0.502947	3.000000	0.000000
-2.634923	0.574791	3.000000	0.000000
-2.580002	0.641620	3.000000	0.000000
-2.519976	0.703051	3.000000	0.000000
-2.455513	0.758795	3.000000	0.000000
-2.387287	0.808665	3.000000	0.000000
-2.315957	0.852560	3.000000	0.000000
-2.242155	0.890467	3.000000	0.000000
-2.166480	0.922443	3.000000	0.000000
-2.089488	0.948608	3.000000	0.000000
-2.011685	0.969136	3.000000	0.000000
-1.933525	0.984244	3.000000	0.000000
-1.855412	0.994179	3.000000	0.000000
-1.777696	0.999213	3.000000	0.000000
-1.700676	0.999632	3.000000	0.000000
-1.624605	0.995732	3.000000	0.000000
-1.549688	0.987808	3.000000	0.000000
-1.476091	0.976156	3.000000	0.000000
-1.403941	0.961064	3.000000	0.000000
-1.333333	0.942809	3.000000	0.000000
-1.264332	0.921658	3.000000	0.000000
-1.196975	0.897864	3.000000	0.000000
-1.131278	0.871665	3.000000	0.000000
-1.067238	0.843284	3.000000	0.000000
-1.004835	0.812928	3.000000	0.000000
-0.944034	0.780792	3.000000	0.000000
-0.884790	0.747053	3.000000	0.000000
-0.827047	0.711874	3.000000	0.000000
-0.770742	0.675406	3.000000	0.000000
-0.715806	0.637788	3.000000	0.000000
-0.662164	0.599144	3.000000	0.000000
-0.609738	0.559590	3.000000	0.000000
-0.558446	0.519230	3.000000	0.000000
-0.508204	0.478160	3.000000	0.000000
-0.458928	0.436466	3.000000	0.000000
-0.410530	0.394229	3.000000	0.000000
-0.362923	0.351522	3.000000	0.000000
-0.316020	0.308409	3.000000	0.000000
-0.269733	0.264955	3.000000	0.000000
-0.223972	0.221215	3.000000	0.000000
-0.178651	0.177242	3.000000	0.000000
-0.133681	0.133088	3.000000	0.000000
-0.088975	0.088799	3.000000	0.000000
-0.044443	0.044422	3.000000	0.000000
0.000000	-0.000000	3.000000	0.000000
0.044443	-0.044422	3.000000	0.000000
0.088975	-0.088799	3.000000	0.000000
0.133681	-0.133088	3.000000	0.000000
0.178651	-0.177242	3.000000	0.000000
0.223972	-0.221215	3.000000	0.000000
0.269733	-0.264955	3.000000	0.000000
0.316020	-0.308409	3.000000	0.000000
0.362923	-0.351522	3.000000	0.000000
0.410530	-0.394229	3.000000	0.000000
0.458928	-0.436466	3.000000	0.000000
0.508204	-0.478160	3.000000	0.000000
0.558446	-0.519230	3.000000	0.000000
0.609738	-0.559590	3.000000	0.000000
0.662164	-0.599144	3.000000	0.000000
0.715806	-0.637788	3.000000	0.000000
0.770742	-0.675406	3.000000	0.000000
0.827047	-0.711874	3.000000	0.000000
0.884790	-0.747053	3.000000	0.000000
0.944034	-0.780792	3.000000	0.000000
1.004835	-0.812928	3.000000	0.000000
1.067238	-0.843284	3.000000	0.000000
1.131278	-0.871665	3.000000	0.000000
1.196975	-0.897864	3.000000	0.000000
1.264332	-0.921658	3.000000	0.000000
1.333333	-0.942809	3.000000	0.000000
1.403941	-0.961064	3.000000	0.000000
1.476091	-0.976156	3.000000	0.000000
1.549688	-0.987808	3.000000	0.000000
1.624605	-0.995732	3.000000	0.000000
1.700676	-0.999632	3.000000	0.000000
1.777696	-0.999213	3.000000	0.000000
1.855412	-0.994179	3.000000	0.000000
1.933525	-0.984244	3.000000	0.000000
2.011685	-0.969136	3.000000	0.000000
2.089488	-0.948608	3.000000	0.000000
2.166480	-0.922443	3.000000	0.000000
2.242155	-0.890467	3.000000	0.000000
2.315957	-0.852560	3.000000	0.000000
2.387287	-0.808665	3.000000	0.000000
2.455513	-0.758795	3.000000	0.000000
2.519976	-0.703051	3.000000	0.000000
2.580002	-0.641620	3.000000	0.000000
2.634923	-0.574791	3.000000	0.000000
2.684085	-0.502947	3.000000	0.000000
2.726873	-0.426577	3.000000	0.000000
2.762726	-0.346261	3.000000	0.000000
2.791155	-0.262671	3.000000	0.000000
2.811760	-0.176552	3.000000	0.000000
2.824245	-0.088712	3.000000	0.000000
2.828427	0.000000	3.000000	0.000000
2.824245	0.088712	3.000000	0.000000
2.811760	0.176552	3.000000	0.000000
2.791155	0.262671	3.000000	0.000000
2.762726	0.346261	3.000000	0.000000
2.726873	0.426577	3.000000	0.000000
2.684085	0.502947	3.000000	0.000000
2.634923	0.574791	3.000000	0.000000
2.580002	0.641620	3.000000	0.000000
2.519976	0.703051	3.000000	0.000000
2.455513	0.758795	3.000000	0.000000
2.387287	0.808665	3.000000	0.000000
2.315957	0.852560	3.000000	0.000000
2.242155	0.890467	3.000000	0.000000
2.166480	0.922443	3.000000	0.000000
2.089488	0.948608	3.000000	0.000000
2.011685	0.969136	3.000000	0.000000
1.933525	0.984244	3.000000	0.000000
1.855412	0.994179	3.000000	0.000000
1.777696	0.999213	3.000000	0.000000
1.700676	0.999632	3.000000	0.000000
1.624605	0.995732	3.000000	0.000000
1.549688	0.987808	3.000000	0.000000
1.476091	0.976156	3.000000	0.000000
1.403941	0.961064	3.000000	0.000000
1.333333	0.942809	3.000000	0.000000
1.264332	0.921658	3.000000	0.000000
1.196975	0.897864	3.000000	0.000000
1.131278	0.871665	3.000000	0.000000
1.067238	0.843284	3.000000	0.000000
1.004835	0.812928	3.000000	0.000000
0.944034	0.780792	3.000000	0.000000
0.884790	0.747053	3.000000	0.000000
0.827047	0.711874	3.000000	0.000000
0.770742	0.675406	3.000000	0.000000
0.715806	0.637788	3.000000	0.000000
0.662164	0.599144	3.000000	0.000000
0.609738	0.559590	3.000000	0.000000
0.558446	0.519230	3.000000	0.000000
0.508204	0.478160	3.000000	0.000000
0.458928	0.436466	3.000000	0.000000
0.410530	0.394229	3.000000	0.000000
0.362923	0.351522	3.000000	0.000000
0.316020	0.308409	3.000000	0.000000
0.269733	0.264955	3.000000	0.000000
0.223972	0.221215	3.000000	0.000000
0.178651	0.177242	3.000000	0.000000
0.133681	0.133088	3.000000	0.000000
0.088975	0.088799	3.000000	0.000000
0.044443	0.044422	3.000000	0.000000
0.000000	0.000000	3.000000	0.000000
-0.044443	-0.044422	3.000000	0.000000
-0.088975	-0.088799	3.000000	0.000000
-0.133681	-0.133088	3.000000	0.000000
-0.178651	-0.177242	3.000000	0.000000
-0.223972	-0.221215	3.000000	0.000000
-0.269733	-0.264955	3.000000	0.000000
-0.316020	-0.308409	3.000000	0.000000
-0.362923	-0.351522	3.000000	0.000000
-0.410530	-0.394229	3.000000	0.000000
-0.458928	-0.436466	3.000000	0.000000
-0.508204	-0.478160	3.000000	0.000000
-0.558446	-0.519230	3.000000	0.000000
-0.609738	-0.559590	3.000000	0.000000
-0.662164	-0.599144	3.000000	0.000000
-0.715806	-0.637788	3.000000	0.000000
-0.770742	-0.675406	3.000000	0.000000
-0.827047	-0.711874	3.000000	0.000000
-0.884790	-0.747053	3.000000	0.000000
-0.944034	-0.780792	3.000000	0.000000
-1.004835	-0.812928	3.000000	0.000000
-1.067238	-0.843284	3.000000	0.000000
-1.131278	-0.871665	3.000000	0.000000
-1.196975	-0.897864	3.000000	0.000000
-1.264332	-0.921658	3.000000	0.000000
-1.333333	-0.942809	3.000000	0.000000
-1.403941	-0.961064	3.000000	0.000000
-1.476091	-0.976156	3.000000	0.000000
-1.549688	-0.987808	3.000000	0.000000
-1.624605	-0.995732	3.000000	0.000000
-1.700676	-0.999632	3.000000	0.000000
-1.777696	-0.999213	3.000000	0.000000
-1.855412	-0.994179	3.000000	0.000000
-1.933525	-0.984244	3.000000	0.000000
-2.011685	-0.969136	3.000000	0.000000
-2.089488	-0.948608	3.000000	0.000000
-2.166480	-0.922443	3.000000	0.000000
-2.242155	-0.890467	3.000000	0.000000
-2.315957	-0.852560	3.000000	0.000000
-2.387287	-0.808665	3.000000	0.000000
-2.455513	-0.758795	3.000000	0.000000
-2.519976	-0.703051	3.000000	0.000000
-2.580002	-0.641620	3.000000	0.000000
-2.634923	-0.574791	3.000000	0.000000
-2.684085	-0.502947	3.000000	0.000000
-2.726873	-0.426577	3.000000	0.000000
-2.762726	-0.346261	3.000000	0.000000
-2.791155	-0.262671	3.000000	0.000000
-2.811760	-0.176552	3.000000	0.000000
-2.824245	-0.088712	3.000000	0.000000
-2.828427	-0.000000	3.000000	0.000000
-2.824245	0.088712	3.000000	0.000000
-2.811760	0.176552	3.000000	0.000000
-2.791155	0.262671	3.000000	0.000000
-2.762726	0.346261	3.000000	0.000000
-2.726873	0.426577	3.000000	0.000000
-2.684085	0.502947	3.000000	0.000000
-2.634923	0.574791	3.000000	0.000000
-2.580002	0.641620	3.000000	0.000000
-2.519976	0.703051	3.000000	0.000000
-2.455513	0.758795	3.000000	0.000000
-2.387287	0.808665	3.000000	0.000000
-2.315957	0.852560	3.000000	0.000000
-2.242155	0.890467	3.000000	0.000000
-2.166480	0.922443	3.000000	0.000000
-2.089488	0.948608	3.000000	0.000000
-2.011685	0.969136	3.000000	0.000000
-1.933525	0.984244	3.000000	0.000000
-1.855412	0.994179	3.000000	0.000000
-1.777696	0.999213	3.000000	0.000000
-1.700676	0.999632	3.000000	0.000000
-1.624605	0.995732	3.000000	0.000000
-1.549688	0.987808	3.000000	0.000000
-1.476091	0.976156	3.000000	0.000000
-1.403941	0.961064	3.000000	0.000000
-1.333333	0.942809	3.000000	0.000000
-1.264332	0.921658	3.000000	0.000000
-1.196975	0.897864	3.000000	0.000000
-1.131278	0.871665	3.000000	0.000000
-1.067238	0.843284	3.000000	0.000000
-1.004835	0.812928	3.000000	0.000000
-0.944034	0.780792	3.000000	0.000000
-0.884790	0.747053	3.000000	0.000000
-0.827047	0.711874	3.000000	0.000000
-0.770742	0.675406	3.000000	0.000000
-0.715806	0.637788	3.000000	0.000000
-0.662164	0.599144	3.000000	0.000000
-0.609738	0.559590	3.000000	0.000000
-0.558446	0.519230	3.000000	0.000000
-0.508204	0.478160	3.000000	0.000000
-0.458928	0.436466	3.000000	0.000000
-0.410530	0.394229	3.000000	0.000000
-0.362923	0.351522	3.000000	0.000000
-0.316020	0.308409	3.000000	0.000000
-0.269733	0.264955	3.000000	0.000000
-0.223972	0.221215	3.000000	0.000000
-0.178651	0.177242	3.000000	0.000000
-0.133681	0.133088	3.000000	0.000000
-0.088975	0.088799	3.000000	0.000000
-0.044443	0.044422	3.000000	0.000000
0.000000	-0.000000	3.000000	0.000000
0.044443	-0.044422	3.000000	0.000000
0.088975	-0.088799	3.000000	0.000000
0.133681	-0.133088	3.000000	0.000000
0.178651	-0.177242	3.000000	0.000000
0.223972	-0.221215	3.000000	0.000000
0.269733	-0.264955	3.000000	0.000000
0.316020	-0.308409	3.000000	0.000000
0.362923	-0.351522	3.000000	0.000000
0.410530	-0.394229	3.000000	0.000000
0.458928	-0.436466	3.000000	0.000000
0.508204	-0.478160	3.000000	0.000000
0.558446	-0.519230	3.000000	0.000000
0.609738	-0.559590	3.000000	0.000000
0.662164	-0.599144	3.000000	0.000000
0.715806	-0.637788	3.000000	0.000000
0.770742	-0.675406	3.000000	0.000000
0.827047	-0.711874	3.000000	0.000000
0.884790	-0.747053	3.000000	0.000000
0.944034	-0.780792	3.000000	0.000000
1.004835	-0.812928	3.000000	0.000000
1.067238	-0.843284	3.000000	0.000000
1.131278	-0.871665	3.000000	0.000000
1.196975	-0.897864	3.000000	0.000000
1.264332	-0.921658	3.000000	0.000000
1.333333	-0.942809	3.000000	0.000000
1.403941	-0.961064	3.000000	0.000000
1.476091	-0.976156	3.000000	0.000000
1.549688	-0.987808	3.000000	0.000000
1.624605	-0.995732	3.000000	0.000000
1.700676	-0.999632	3.000000	0.000000
1.777696	-0.999213	3.000000	0.000000
1.855412	-0.994179	3.000000	0.000000
1.933525	-0.984244	3.000000	0.000000
2.011685	-0.969136	3.000000	0.000000
2.089488	-0.948608	3.000000	0.000000
2.166480	-0.922443	3.000000	0.000000
2.242155	-0.890467	3.000000	0.000000
2.315957	-0.852560	3.000000	0.000000
2.387287	-0.808665	3.000000	0.000000
2.455513	-0.758795	3.000000	0.000000
2.519976	-0.703051	3.000000	0.000000
2.580002	-0.641620	3.000000	0.000000
2.634923	-0.574791	3.000000	0.000000
2.684085	-0.502947	3.000000	0.000000
2.726873	-0.426577	3.000000	0.000000
2.762726	-0.346261	3.000000	0.000000
2.791155	-0.262671	3.000000	0.000000
2.811760	-0.176552	3.000000	0.000000
2.824245	-0.088712	3.000000	0.000000
2.828427	0.000000	3.000000	0.000000
2.824245	0.088712	3.000000	0.000000
2.811760	0.176552	3.000000	0.000000
2.791155	0.262671	3.000000	0.000000
2.762726	0.346261	3.000000	0.000000
2.726873	0.426577	3.000000	0.000000
2.684085	0.502947	3.000000	0.000000
2.634923	0.574791	3.000000	0.000000
2.580002	0.641620	3.000000	0.000000
2.519976	0.703051	3.000000	0.000000
2.455513	0.758795	3.000000	0.000000
2.387287	0.808665	3.000000	0.000000
2.315957	0.852560	3.000000	0.000000
2.242155	0.890467	3.000000	0.000000
2.166480	0.922443	3.000000	0.000000
2.089488	0.948608	3.000000	0.000000
2.011685	0.969136	3.000000	0.000000
1.933525	0.984244	3.000000	0.000000
1.855412	0.994179	3.000000	0.000000
1.777696	0.999213	3.000000	0.000000
1.700676	0.999632	3.000000	0.000000
1.624605	0.995732	3.000000	0.000000
1.549688	0.987808	3.000000	0.000000
1.476091	0.976156	3.000000	0.000000
1.403941	0.961064	3.000000	0.000000
1.333333	0.942809	3.000000	0.000000
1.264332	0.921658	3.000000	0.000000
1.196975	0.897864	3.000000	0.000000
1.131278	0.871665	3.000000	0.000000
1.067238	0.843284	3.000000	0.000000
1.004835	0.812928	3.000000	0.000000
0.944034	0.780792	3.000000	0.000000
0.884790	0.747053	3.000000	0.000000
0.827047	0.711874	3.000000	0.000000
0.770742	0.675406	3.000000	0.000000
0.715806	0.637788	3.000000	0.000000
0.662164	0.599144	3.000000	0.000000
0.609738	0.559590	3.000000	0.000000
0.558446	0.519230	3.000000	0.000000
0.508204	0.478160	3.000000	0.000000
0.458928	0.436466	3.000000	0.000000
0.410530	0.394229	3.000000	0.000000
0.362923	0.351522	3.000000	0.000000
0.316020	0.308409	3.000000	0.000000
0.269733	0.264955	3.000000	0.000000
0.223972	0.221215	3.000000	0.000000
0.178651	0.177242	3.000000	0.000000
0.133681	0.133088	3.000000	0.000000
0.088975	0.088799	3.000000	0.000000
0.044443	0.044422	3.000000	0.000000
0.000000	0.000000	3.000000	0.000000
-0.044443	-0.044422	3.000000	0.000000
-0.088975	-0.088799	3.000000	0.000000
-0.133681	-0.133088	3.000000	0.000000
-0.178651	-0.177242	3.000000	0.000000
-0.223972	-0.221215	3.000000	0.000000
-0.269733	-0.264955	3.000000	0.000000
-0.316020	-0.308409	3.000000	0.000000
-0.362923	-0.351522	3.000000	0.000000
-0.410530	-0.394229	3.000000	0.000000
-0.458928	-0.436466	3.000000	0.000000
-0.508204	-0.478160	3.000000	0.000000
-0.558446	-0.519230	3.000000	0.000000
-0.609738	-0.559590	3.000000	0.000000
-0.662164	-0.599144	3.000000	0.000000
-0.715806	-0.637788	3.000000	0.000000
-0.770742	-0.675406	3.000000	0.000000
-0.827047	-0.711874	3.000000	0.000000
-0.884790	-0.747053	3.000000	0.000000
-0.944034	-0.780792	3.000000	0.000000
-1.004835	-0.812928	3.000000	0.000000
-1.067238	-0.843284	3.000000	0.000000
-1.131278	-0.871665	3.000000	0.000000
-1.196975	-0.897864	3.000000	0.000000
-1.264332	-0.921658	3.000000	0.000000
-1.333333	-0.942809	3.000000	0.000000
-1.403941	-0.961064	3.000000	0.000000
-1.476091	-0.976156	3.000000	0.000000
-1.549688	-0.987808	3.000000	0.000000
-1.624605	-0.995732	3.000000	0.000000
-1.700676	-0.999632	3.000000	0.000000
-1.777696	-0.999213	3.000000	0.000000
-1.855412	-0.994179	3.000000	0.000000
-1.933525	-0.984244	3.000000	0.000000
-2.011685	-0.969136	3.000000	0.000000
-2.089488	-0.948608	3.000000	0.000000
-2.166480	-0.922443	3.000000	0.000000
-2.242155	-0.890467	3.000000	0.000000
-2.315957	-0.852560	3.000000	0.000000
-2.387287	-0.808665	3.000000	0.000000
-2.455513	-0.758795	3.000000	0.000000
-2.519976	-0.703051	3.000000	0.000000
-2.580002	-0.641620	3.000000	0.000000
-2.634923	-0.574791	3.000000	0.000000
-2.684085	-0.502947	3.000000	0.000000
-2.726873	-0.426577	3.000000	0.000000
-2.762726	-0.346261	3.000000	0.000000
-2.791155	-0.262671	3.000000	0.000000
-2.811760	-0.176552	3.000000	0.000000
-2.824245	-0.088712	3.000000	0.000000
-2.828427	-0.000000	3.000000	0.000000
-2.824245	0.088712	3.000000	0.000000
-2.811760	0.176552	3.000000	0.000000
-2.791155	0.262671	3.000000	0.000000
-2.762726	0.346261	3.000000	0.000000
-2.726873	0.426577	3.000000	0.000000
-2.684085	0.502947	3.000000	0.000000
-2.634923	0.574791	3.000000	0.000000
-2.580002	0.641620	3.000000	0.000000
-2.519976	0.703051	3.000000	0.000000
-2.455513	0.758795	3.000000	0.000000
-2.387287	0.808665	3.000000	0.000000
-2.315957	0.852560	3.000000	0.000000
-2.242155	0.890467	3.000000	0.000000
-2.166480	0.922443	3.000000	0.000000
-2.089488	0.948608	3.000000	0.000000
-2.011685	0.969136	3.000000	0.000000
-1.933525	0.984244	3.000000	0.000000
-1.855412	0.994179	3.000000	0.000000
-1.777696	0.999213	3.000000	0.000000
-1.700676	0.999632	3.000000	0.000000
-1.624605	0.995732	3.000000	0.000000
-1.549688	0.987808	3.000000	0.000000
-1.476091	0.976156	3.000000	0.000000
-1.403941	0.961064	3.000000	0.000000
-1.333333	0.942809	3.000000	0.000000
-1.264332	0.921658	3.000000	0.000000
-1.196975	0.897864	3.000000	0.000000
-1.131278	0.871665	3.000000	0.000000
-1.067238	0.843284	3.000000	0.000000
-1.004835	0.812928	3.000000	0.000000
-0.944034	0.780792	3.000000	0.000000
-0.884790	0.747053	3.000000	0.000000
-0.827047	0.711874	3.000000	0.000000
-0.770742	0.675406	3.000000	0.000000
-0.715806	0.637788	3.000000	0.000000
-0.662164	0.599144	3.000000	0.000000
-0.609738	0.559590	3.000000	0.000000
-0.558446	0.519230	3.000000	0.000000
-0.508204	0.478160	3.000000	0.000000
-0.458928	0.436466	3.000000	0.000000
-0.410530	0.394229	3.000000	0.000000
-0.362923	0.351522	3.000000	0.000000
-0.316020	0.308409	3.000000	0.000000
-0.269733	0.264955	3.000000	0.000000
-0.223972	0.221215	3.000000	0.000000
-0.178651	0.177242	3.000000	0.000000
-0.133681	0.133088	3.000000	0.000000
-0.088975	0.088799	3.000000	0.000000
-0.044443	0.044422	3.000000	0.000000
0.000000	-0.000000	3.000000	0.000000
0.044443	-0.044422	3.000000	0.000000
0.088975	-0.088799	3.000000	0.000000
0.133681	-0.133088	3.000000	0.000000
0.178651	-0.177242	3.000000	0.000000
0.223972	-0.221215	3.000000	0.000000
0.269733	-0.264955	3.000000	0.000000
0.316020	-0.308409	3.000000	0.000000
0.362923	-0.351522	3.000000	0.000000
0.410530	-0.394229	3.000000	0.000000
0.458928	-0.436466	3.000000	0.000000
0.508204	-0.478160	3.000000	0.000000
0.558446	-0.519230	3.000000	0.000000
0.609738	-0.559590	3.000000	0.000000
0.662164	-0.599144	3.000000	0.000000
0.715806	-0.637788	3.000000	0.000000
0.770742	-0.675406	3.000000	0.000000
0.827047	-0.711874	3.000000	0.000000
0.884790	-0.747053	3.000000	0.000000
0.944034	-0.780792	3.000000	0.000000
1.004835	-0.812928	3.000000	0.000000
1.067238	-0.843284	3.000000	0.000000
1.131278	-0.871665	3.000000	0.000000
1.196975	-0.897864	3.000000	0.000000
1.264332	-0.921658	3.000000	0.000000
1.333333	-0.942809	3.000000	0.000000
1.403941	-0.961064	3.000000	0.000000
1.476091	-0.976156	3.000000	0.000000
1.549688	-0.987808	3.000000	0.000000
1.624605	-0.995732	3.000000	0.000000
1.700676	-0.999632	3.000000	0.000000
1.777696	-0.999213	3.000000	0.000000
1.855412	-0.994179	3.000000	0.000000
1.933525	-0.984244	3.000000	0.000000
2.011685	-0.969136	3.000000	0.000000
2.089488	-0.948608	3.000000	0.000000
2.166480	-0.922443	3.000000	0.000000
2.242155	-0.890467	3.000000	0.000000
2.315957	-0.852560	3.000000	0.000000
2.387287	-0.808665	3.000000	0.000000
2.455513	-0.758795	3.000000	0.000000
2.519976	-0.703051	3.000000	0.000000
2.580002	-0.641620	3.000000	0.000000
2.634923	-0.574791	3.000000	0.000000
2.684085	-0.502947	3.000000	0.000000
2.726873	-0.426577	3.000000	0.000000
2.762726	-0.346261	3.000000	0.000000
2.791155	-0.262671	3.000000	0.000000
2.811760	-0.176552	3.000000	0.000000
2.824245	-0.088712	3.000000	0.000000
2.828427	0.000000	3.000000	0.000000
2.824245	0.088712	3.000000	0.000000
2.811760	0.176552	3.000000	0.000000
2.791155	0.262671	3.000000	0.000000
2.762726	0.346261	3.000000	0.000000
2.726873	0.426577	3.000000	0.000000
2.684085	0.502947	3.000000	0.000000
2.634923	0.574791	3.000000	0.000000
2.580002	0.641620	3.000000	0.000000
2.519976	0.703051	3.000000	0.000000
2.455513	0.758795	3.000000	0.000000
2.387287	0.808665	3.000000	0.000000
2.315957	0.852560	3.000000	0.000000
2.242155	0.890467	3.000000	0.000000
2.166480	0.922443	3.000000	0.000000
2.089488	0.948608	3.000000	0.000000
2.011685	0.969136	3.000000	0.000000
1.933525	0.984244	3.000000	0.000000
1.855412	0.994179	3.000000	0.000000
1.777696	0.999213	3.000000	0.000000
1.700676	0.999632	3.000000	0.000000
1.624605	0.995732	3.000000	0.000000
1.549688	0.987808	3.000000	0.000000
1.476091	0.976156	3.000000	0.000000
1.403941	0.961064	3.000000	0.000000
1.333333	0.942809	3.000000	0.000000
1.264332	0.921658	3.000000	0.000000
1.196975	0.897864	3.000000	0.000000
1.131278	0.871665	3.000000	0.000000
1.067238	0.843284	3.000000	0.000000
1.004835	0.812928	3.000000	0.000000
0.944034	0.780792	3.000000	0.000000
0.884790	0.747053	3.000000	0.000000
0.827047	0.711874	3.000000	0.000000
0.770742	0.675406	3.000000	0.000000
0.715806	0.637788	3.000000	0.000000
0.662164	0.599144	3.000000	0.000000
0.609738	0.559590	3.000000	0.000000
0.558446	0.519230	3.000000	0.000000
0.508204	0.478160	3.000000	0.000000
0.458928	0.436466	3.000000	0.000000
0.410530	0.394229	3.000000	0.000000
0.362923	0.351522	3.000000	0.000000
0.316020	0.308409	3.000000	0.000000
0.269733	0.264955	3.000000	0.000000
0.223972	0.221215	3.000000	0.000000
0.178651	0.177242	3.000000	0.000000
0.133681	0.133088	3.000000	0.000000
0.088975	0.088799	3.000000	0.000000
0.044443	0.044422	3.000000	0.000000
